Date,Consensus Mean,Consensus High,Consensus Low,Actual,,,,
Mar-27-2021,5.78,6.44,4.9,5.35,,,,
Mar-28-2021,5.78,6.44,4.9,5.35,,,,
Mar-29-2021,5.78,6.44,4.9,5.26,,,,
Mar-30-2021,5.78,6.44,4.9,5.14,,,,
Mar-31-2021,5.78,6.44,4.9,5.23,,,,
Apr-01-2021,5.78,6.44,4.9,5.24,,,,
Apr-02-2021,5.78,6.44,4.9,5.24,,,,
Apr-03-2021,5.78,6.44,4.9,5.24,,,,
Apr-04-2021,5.78,6.44,4.9,5.24,,,,
Apr-05-2021,5.78,6.44,4.9,5.24,,,,
Apr-06-2021,5.78,6.44,4.9,5.29,,,,
Apr-07-2021,5.78,6.44,4.9,5.28,,,,
Apr-08-2021,5.78,6.44,4.9,5.45,,,,
Apr-09-2021,5.78,6.44,4.9,5.35,,,,
Apr-10-2021,5.78,6.44,4.9,5.35,,,,
Apr-11-2021,5.78,6.44,4.9,5.35,,,,
Apr-12-2021,5.78,6.44,4.9,5.34,,,,
Apr-13-2021,5.78,6.44,4.9,5.41,,,,
Apr-14-2021,5.78,6.44,4.9,5.44,,,,
Apr-15-2021,5.78,6.44,4.9,5.44,,,,
Apr-16-2021,5.78,6.44,4.9,5.47,,,,
Apr-17-2021,5.78,6.44,4.9,5.47,,,,
Apr-18-2021,5.78,6.44,4.9,5.47,,,,
Apr-19-2021,5.78,6.44,4.9,5.43,,,,
Apr-20-2021,5.78,6.44,4.9,5.34,,,,
Apr-21-2021,5.78,6.44,4.9,5.4,,,,
Apr-22-2021,5.78,6.44,4.9,5.41,,,,
Apr-23-2021,5.78,6.44,4.9,5.39,,,,
Apr-24-2021,5.78,6.44,4.9,5.39,,,,
Apr-25-2021,5.78,6.44,4.9,5.39,,,,
Apr-26-2021,6.03,6.56,5.1,5.94,,,,
Apr-27-2021,6.03,6.56,5.1,5.95,,,,
Apr-28-2021,6.03,6.56,5.1,6.1,,,,
Apr-29-2021,6.03,6.56,5.1,6.15,,,,
Apr-30-2021,6.03,6.56,5.1,6.18,,,,
May-01-2021,6.03,6.56,5.1,6.18,,,,
May-02-2021,6.03,6.56,5.1,6.18,,,,
May-03-2021,6.07,6.56,5.1,6.25,,,,
May-04-2021,6.07,6.56,5.1,6.26,,,,
May-05-2021,6.07,6.56,5.1,6.28,,,,
May-06-2021,6.07,6.56,5.1,6.25,,,,
May-07-2021,6.07,6.56,5.1,6.22,,,,
May-08-2021,6.07,6.56,5.1,6.22,,,,
May-09-2021,6.07,6.56,5.1,6.22,,,,
May-10-2021,6.07,6.56,5.1,6.24,,,,
May-11-2021,6.07,6.56,5.1,6.23,,,,
May-12-2021,6.07,6.56,5.1,6.14,,,,
May-13-2021,6.07,6.56,5.1,6.2,,,,
May-14-2021,6.07,6.56,5.1,6.19,,,,
May-15-2021,6.07,6.56,5.1,6.19,,,,
May-16-2021,6.07,6.56,5.1,6.19,,,,
May-17-2021,6.08,6.56,5.1,6.11,,,,
May-18-2021,6.08,6.56,5.1,6.18,,,,
May-19-2021,6.08,6.56,5.1,6,,,,
May-20-2021,6.08,6.56,5.1,6.05,,,,
May-21-2021,6.08,6.56,5.1,6.07,,,,
May-22-2021,6.08,6.56,5.1,6.07,,,,
May-23-2021,6.08,6.56,5.1,6.07,,,,
May-24-2021,6.08,6.56,5.1,6.24,,,,
May-25-2021,6.08,6.56,5.1,6.16,,,,
May-26-2021,6.08,6.56,5.1,6.18,,,,
May-27-2021,6.08,6.56,5.1,6.09,,,,
May-28-2021,6.08,6.56,5.1,6.3,,,,
May-29-2021,6.08,6.56,5.1,6.3,,,,
May-30-2021,6.08,6.56,5.1,6.3,,,,
May-31-2021,6.08,6.56,5.1,6.29,,,,
Jun-01-2021,6.08,6.56,5.1,6.23,,,,
Jun-02-2021,6.08,6.56,5.1,6.32,,,,
Jun-03-2021,6.08,6.56,5.1,6.46,,,,
Jun-04-2021,6.08,6.56,5.1,6.41,,,,
Jun-05-2021,6.08,6.56,5.1,6.41,,,,
Jun-06-2021,6.08,6.56,5.1,6.41,,,,
Jun-07-2021,6.08,6.56,5.1,6.32,,,,
Jun-08-2021,6.08,6.56,5.1,6.19,,,,
Jun-09-2021,6.08,6.56,5.1,6.23,,,,
Jun-10-2021,6.08,6.56,5.1,6.28,,,,
Jun-11-2021,6.08,6.56,5.1,6.22,,,,
Jun-12-2021,6.08,6.56,5.1,6.22,,,,
Jun-13-2021,6.08,6.56,5.1,6.22,,,,
Jun-14-2021,6.08,6.56,5.1,6.22,,,,
Jun-15-2021,6.08,6.56,5.1,6.41,,,,
Jun-16-2021,6.08,6.56,5.1,6.35,,,,
Jun-17-2021,6.08,6.56,5.1,6.41,,,,
Jun-18-2021,6.08,6.56,5.1,6.33,,,,
Jun-19-2021,6.08,6.56,5.1,6.33,,,,
Jun-20-2021,6.08,6.56,5.1,6.33,,,,
Jun-21-2021,6.08,6.56,5.1,6.13,,,,
Jun-22-2021,6.08,6.56,5.1,6.29,,,,
Jun-23-2021,6.08,6.56,5.1,6.27,,,,
Jun-24-2021,6.08,6.56,5.1,6.35,,,,
Jun-25-2021,6.08,6.56,5.1,6.39,,,,
Jun-26-2021,6.08,6.56,5.1,6.39,,,,
Jun-27-2021,6.08,6.56,5.1,6.39,,,,
Jun-28-2021,6.08,6.56,5.1,6.37,,,,
Jun-29-2021,6.08,6.56,5.1,6.37,,,,
Jun-30-2021,6.08,6.56,5.1,6.51,,,,
Jul-01-2021,6.08,6.56,5.1,6.45,,,,
Jul-02-2021,6.08,6.56,5.1,6.5,,,,
Jul-03-2021,6.08,6.56,5.1,6.5,,,,
Jul-04-2021,6.06,6.56,5.1,6.5,,,,
Jul-05-2021,6.07,6.56,5.1,6.59,,,,
Jul-06-2021,6.07,6.56,5.1,6.46,,,,
Jul-07-2021,6.07,6.56,5.1,6.54,,,,
Jul-08-2021,6.07,6.56,5.1,6.54,,,,
Jul-09-2021,6.07,6.56,5.1,6.41,,,,
Jul-10-2021,6.07,6.56,5.1,6.41,,,,
Jul-11-2021,6.07,6.56,5.1,6.41,,,,
Jul-12-2021,6.07,6.56,5.1,6.37,,,,
Jul-13-2021,6.07,6.56,5.1,6.42,,,,
Jul-14-2021,6.07,6.56,5.1,6.5,,,,
Jul-15-2021,6.09,6.56,5.1,6.5,,,,
Jul-16-2021,6.09,6.56,5.1,6.57,,,,
Jul-17-2021,6.09,6.56,5.1,6.57,,,,
Jul-18-2021,6.11,6.66,5.1,6.57,,,,
Jul-19-2021,6.19,7.08,5.1,6.58,,,,
Jul-20-2021,6.19,7.08,5.1,6.79,,,,
Jul-21-2021,6.19,7.08,5.1,7,,,,
Jul-22-2021,6.19,7.08,5.1,7.15,,,,
Jul-23-2021,6.19,7.08,5.1,7.15,,,,
Jul-24-2021,6.19,7.08,5.1,7.15,,,,
Jul-25-2021,6.19,7.08,5.1,7.15,,,,
Jul-26-2021,6.19,7.08,5.1,7.24,,,,
Jul-27-2021,6.19,7.08,5.1,7.22,,,,
Jul-28-2021,6.19,7.08,5.1,7.14,,,,
Jul-29-2021,6.19,7.08,5.1,7.07,,,,
Jul-30-2021,6.19,7.08,5.1,7.14,,,,
Jul-31-2021,6.19,7.08,5.1,7.14,,,,
Aug-01-2021,6.19,7.08,5.1,7.14,,,,
Aug-02-2021,6.19,7.08,5.1,7.18,,,,
Aug-03-2021,6.24,7.1,5.1,7.16,,,,
Aug-04-2021,6.24,7.1,5.1,7.21,,,,
Aug-05-2021,6.28,7.1,5.1,7.43,,,,
Aug-06-2021,6.28,7.1,5.1,7.52,,,,
Aug-07-2021,6.28,7.1,5.1,7.52,,,,
